user,word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
Bhavi,last,6_science_sem1,,,Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions .,Pelham pointed out that georgia voters **** november rejected a constitutional amendment to allow legislators to vote on pay raises for future legislature sessions .,He was the last to finish.,He was the **** to finish.
Bhavi,femur,6_science_sem1,,,No example sentence found.,No example sentence found.,The femur is your thigh bone.,The ***** is your thigh bone.
Bhavi,letter,6_science_sem1,,,"The governor's move into the so-called `` blue law '' controversy came in the form of a letter to Miss Mary R. Grant , deputy city clerk of Central Falls .","The governor's move into the so-called `` blue law '' controversy came in the form of a ****** to miss mary r. grant , deputy city clerk of central falls .",Write a letter to Santa.,Write a ****** to santa.
Bhavi,alternately,6_science_sem1,,,"or ( 3 ) alternately accelerate and decelerate , thus keeping the first driver guessing as to his intentions , thereby making a fascinating sport of the whole affair .","Or ( 3 ) *********** accelerate and decelerate , thus keeping the first driver guessing as to his intentions , thereby making a fascinating sport of the whole affair .",She jumps alternately on each foot.,She jumps *********** on each foot.
Bhavi,hence,6_science_sem1,,,He hopes to melt off an additional eight pounds before the Flock breaks camp three weeks hence .,He hopes to melt off an additional eight pounds before the flock breaks camp three weeks ***** .,"He was late, hence the rush.","He was late, ***** the rush."
Bhavi,shoot,6_science_sem1,,,"They are willing to settle , however , in anything that offers pheasants to shoot at and peasants to work at .","They are willing to settle , however , in anything that offers pheasants to ***** at and peasants to work at .",Let's shoot some hoops.,Let's ***** some hoops.
Bhavi,squirrel,6_science_sem1,,,It can cut a red squirrel neatly in two or burst a crow into a flurry of feathers .,It can cut a red ******** neatly in two or burst a crow into a flurry of feathers .,A squirrel is eating a nut.,A ******** is eating a nut.
Bhavi,suggest,6_science_sem1,,,Perhaps the engineers can find out what causes all the congestion and suggest methods to eliminate it .,Perhaps the engineers can find out what causes all the congestion and ******* methods to eliminate it .,I suggest we go outside.,I ******* we go outside.
Bhavi,distillation,6_science_sem1,,,"And like this English master , Mason realizes his subjects in large , simplified masses which , though they seem effortless , are in reality the result of skilled design born of hard work and a thorough distillation of the natural form that inspired them .","And like this english master , mason realizes his subjects in large , simplified masses which , though they seem effortless , are in reality the result of skilled design born of hard work and a thorough ************ of the natural form that inspired them .",Water is clean after distillation.,Water is clean after ************.
Bhavi,form,6_science_sem1,,,"The governor's move into the so-called `` blue law '' controversy came in the form of a letter to Miss Mary R. Grant , deputy city clerk of Central Falls .","The governor's move into the so-called `` blue law '' controversy came in the **** of a letter to miss mary r. grant , deputy city clerk of central falls .",I learned to form letters.,I learned to **** letters.
Bhavi,prey,6_science_sem1,,,"In West Africa , for example , where meat is a luxury and babies must be weaned early to make room at the breast for later arrivals , a childhood menace is kwashiorkor , or `` Red Johnny '' , a growth-stunting protein deficiency ( signs : reddish hair , bloated belly ) that kills more than half its victims , leaves the rest prey for parasites and lingering tropical disease .","In west africa , for example , where meat is a luxury and babies must be weaned early to make room at the breast for later arrivals , a childhood menace is kwashiorkor , or `` red johnny '' , a growth-stunting protein deficiency ( signs : reddish hair , bloated belly ) that kills more than half its victims , leaves the rest **** for parasites and lingering tropical disease .",A lion chases its prey.,A lion chases its ****.
Bhavi,cactus,6_science_sem1,,,No example sentence found.,No example sentence found.,A cactus needs little water.,A ****** needs little water.
Bhavi,lighter,6_science_sem1,,,15 pounds lighter,15 pounds *******,This is a lighter shade.,This is a ******* shade.
Bhavi,tough,6_science_sem1,,,"Arkansas combined 280 yards rushing with 64 yards passing ( on 5 completions in 7 tosses ) and a tough defense to whip TCU , and A & M , with a 38-point bulge against Texas Tech ran up its biggest total loop play since 1950 .","Arkansas combined 280 yards rushing with 64 yards passing ( on 5 completions in 7 tosses ) and a ***** defense to whip tcu , and a & m , with a 38-point bulge against texas tech ran up its biggest total loop play since 1950 .",This meat is very tough.,This meat is very *****.
Bhavi,web,6_science_sem1,,,"For by now the original cause of the quarrel , Philip's seizure of Gascony , was only one strand in the spider web of French interests that overlay all western Europe and that had been so well and closely spun that the lightest movement could set it trembling from one end to the other .","For by now the original cause of the quarrel , philip's seizure of gascony , was only one strand in the spider *** of french interests that overlay all western europe and that had been so well and closely spun that the lightest movement could set it trembling from one end to the other .",A spider spins a web.,A spider spins a ***.
Bhavi,sinking,6_science_sem1,,,"On Sept. 6 , the Kretchmer rescued the crew of a trawler they found drifting on a life raft after they had abandoned a sinking ship .","On sept. 6 , the kretchmer rescued the crew of a trawler they found drifting on a life raft after they had abandoned a ******* ship .",The boat is sinking in water.,The boat is ******* in water.
Bhavi,glide,6_science_sem1,,,So is that of the limber company of lasses who whirl and glide and quickstep under Jack Cole's expert choreographic direction .,So is that of the limber company of lasses who whirl and ***** and quickstep under jack cole's expert choreographic direction .,Birds glide smoothly in the sky.,Birds ***** smoothly in the sky.
Bhavi,alluvial,6_science_sem1,,,No example sentence found.,No example sentence found.,Gold is found in alluvial soils.,Gold is found in ******** soils.
Bhavi,estimation,6_science_sem1,,,"In my estimation , we definitely do ; ;","In my ********** , we definitely do ; ;",My estimation was completely wrong.,My ********** was completely wrong.
Bhavi,chiefly,6_science_sem1,,,Nearly all of the farm equipment manufacturers and dealers say the upturn in sales has resulted chiefly from the recent improvement in crop prospects .,Nearly all of the farm equipment manufacturers and dealers say the upturn in sales has resulted ******* from the recent improvement in crop prospects .,"Lions eat meat, chiefly.","Lions eat meat, *******."
Bhavi,skin,6_science_sem1,,,Used in several sets of high reps once or twice each week it will not be long before your entire upper leg takes on a razor-sharp definition in which the muscles look like wire cables writhing and twisting under the skin ! !,Used in several sets of high reps once or twice each week it will not be long before your entire upper leg takes on a razor-sharp definition in which the muscles look like wire cables writhing and twisting under the **** ! !,The dog has soft skin.,The dog has soft ****.
Bhavi,side,6_science_sem1,,,On the negative side of the balance sheet must be set some disappointment that the United States leadership has not been as much in evidence as hoped for .,On the negative **** of the balance sheet must be set some disappointment that the united states leadership has not been as much in evidence as hoped for .,Stand by my side.,Stand by my ****.
Bhavi,within,6_science_sem1,,,"The annual spring meeting has given an impetus in three main directions : more , deeper , and more timely political consultation within the alliance , the use of the Organization for Economic Cooperation and Development ( when ratified ) as a method of coordinating aid to the underdeveloped countries , and the need for strengthening conventional forces as well as the maintenance of the nuclear deterrent .","The annual spring meeting has given an impetus in three main directions : more , deeper , and more timely political consultation ****** the alliance , the use of the organization for economic cooperation and development ( when ratified ) as a method of coordinating aid to the underdeveloped countries , and the need for strengthening conventional forces as well as the maintenance of the nuclear deterrent .",Finish your homework within an hour.,Finish your homework ****** an hour.
Bhavi,was,6_science_sem1,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner in which the election *** conducted .",I was at the park.,I *** at the park.
Bhavi,filled,6_science_sem1,,,"`` My experience as public safety commissioner '' , Roos said , `` has shown me that the office of sheriff is best filled by a man with law enforcement experience , and preferably one who is a lawyer .","`` my experience as public safety commissioner '' , roos said , `` has shown me that the office of sheriff is best ****** by a man with law enforcement experience , and preferably one who is a lawyer .",The cup is filled with milk.,The cup is ****** with milk.
Bhavi,rub,6_science_sem1,,,the rub arises from the fact that teachers are usually paid on the basis of time served rather than quality .,The *** arises from the fact that teachers are usually paid on the basis of time served rather than quality .,Rub your hands to warm them.,*** your hands to warm them.
Bhavi,reverse,6_science_sem1,,,"Dr. Bonnor supports the idea that the universe both expands and contracts , that in several billion years the expansion will slow up and reverse itself and that the contraction will set in .","Dr. bonnor supports the idea that the universe both expands and contracts , that in several billion years the expansion will slow up and ******* itself and that the contraction will set in .",Can you reverse the car?,Can you ******* the car?
Bhavi,shine,6_science_sem1,,,"Sometimes they struck me as horribly over-arranged -- which was the way I felt about her `` Come Rain or Come Shine '' -- and sometimes they were just plain magnificent , like her shatteringly beautiful `` Beautiful Weather '' .","Sometimes they struck me as horribly over-arranged -- which was the way i felt about her `` come rain or come ***** '' -- and sometimes they were just plain magnificent , like her shatteringly beautiful `` beautiful weather '' .",The sun will shine tomorrow.,The sun will ***** tomorrow.
Bhavi,starchy,6_science_sem1,,,"In other countries where cereal grains are not among the principal crops of a region , starchy tubers or roots are processed for starch .","In other countries where cereal grains are not among the principal crops of a region , ******* tubers or roots are processed for starch .",Potatoes are starchy vegetables.,Potatoes are ******* vegetables.
Bhavi,teaspoon,6_science_sem1,,,1/2 cup minced celery 1/4 cup minced onion 1/2 cup tomato ketchup 1/2 cup water 1/4 cup vinegar 2 tablespoons brown sugar 1 tablespoon Worcestershire sauce 1 tablespoon prepared mustard 1/2 teaspoon salt 8 frankfurters,1/2 cup minced celery 1/4 cup minced onion 1/2 cup tomato ketchup 1/2 cup water 1/4 cup vinegar 2 tablespoons brown sugar 1 tablespoon worcestershire sauce 1 tablespoon prepared mustard 1/2 ******** salt 8 frankfurters,Add a teaspoon of sugar.,Add a ******** of sugar.
Bhavi,goes,6_science_sem1,,,His political career goes back to his election to city council in 1923 .,His political career **** back to his election to city council in 1923 .,He goes to school by bus.,He **** to school by bus.
Bhavi,anaemia,6_science_sem1,,,No example sentence found.,No example sentence found.,Eating iron helps prevent anaemia.,Eating iron helps prevent *******.
Bhavi,begin,6_science_sem1,,,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will ***** and contracts let for repair work on some of georgia's most heavily traveled highways .",We begin school in September.,We ***** school in september.
Bhavi,button,6_science_sem1,,,"He had style : he held his reins in a loose bunch at the third button of his checked Epsom surtout , and when the horses leaned at a curve , as if bent by the force of a gale , he leaned with them .","He had style : he held his reins in a loose bunch at the third ****** of his checked epsom surtout , and when the horses leaned at a curve , as if bent by the force of a gale , he leaned with them .",Button your shirt properly.,****** your shirt properly.
Bhavi,branching,6_science_sem1,,,"More recently , polyethers -- again in varied compositions , molecular weights , and branching -- have come into use at first for the flexible foams , just lately for the rigids .","More recently , polyethers -- again in varied compositions , molecular weights , and ********* -- have come into use at first for the flexible foams , just lately for the rigids .",The tree is branching out.,The tree is ********* out.
Bhavi,evenly,6_science_sem1,,,"The music sang nicely , sprinted evenly when necessary , was properly accented and balanced .","The music sang nicely , sprinted ****** when necessary , was properly accented and balanced .",Spread the icing evenly on the cake.,Spread the icing ****** on the cake.
Bhavi,would,6_science_sem1,,,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .","He will be succeeded by ivan allen jr. , who became a candidate in the sept. 13 primary after mayor hartsfield announced that he ***** not run for reelection .",I would like some juice.,I ***** like some juice.
Bhavi,recall,6_science_sem1,,,Mr. Truman has only to recall the `` hopeless '' campaign of 1948 to remember what a loyal partisan he was and the first experience of Mr. Kennedy with Congress would have been sadder than it was had not Mr. Sam been there .,Mr. truman has only to ****** the `` hopeless '' campaign of 1948 to remember what a loyal partisan he was and the first experience of mr. kennedy with congress would have been sadder than it was had not mr. sam been there .,I recall my first day of school.,I ****** my first day of school.
Bhavi,shell,6_science_sem1,,,"The shell , which served the strain so well at a relatively early stage in the evolutionary scheme , tended to cancel out the possibility of future development .","The ***** , which served the strain so well at a relatively early stage in the evolutionary scheme , tended to cancel out the possibility of future development .","Look, it's a seashell!","Look, it's a sea*****!"
Bhavi,chemist,6_science_sem1,,,No example sentence found.,No example sentence found.,The chemist sells medicines.,The ******* sells medicines.
Bhavi,francis,6_science_sem1,,,"A cheer here for Francis Lorenz , state treasurer , who will meet with the probate advisory board of the Chicago Bar association , for suggestions on how to handle the opening of safety deposit boxes after somebody dies .","A cheer here for ******* lorenz , state treasurer , who will meet with the probate advisory board of the chicago bar association , for suggestions on how to handle the opening of safety deposit boxes after somebody dies .",Francis is reading a book.,******* is reading a book.
Bhavi,define,6_science_sem1,,,He wanted to buy time to strengthen the U. S. and its allies and to define and begin to implement his foreign policy .,He wanted to buy time to strengthen the u. s. and its allies and to ****** and begin to implement his foreign policy .,Can you define this word?,Can you ****** this word?
Bhavi,washed,6_science_sem1,,,"After playing a splendid first nine holes in 34 -- two strokes under par -- on this fifth and final day of the tournament ( Sunday's fourth round had been washed out by a violent rainstorm when it was only half completed ) , Player's game rapidly fell to pieces .","After playing a splendid first nine holes in 34 -- two strokes under par -- on this fifth and final day of the tournament ( sunday's fourth round had been ****** out by a violent rainstorm when it was only half completed ) , player's game rapidly fell to pieces .",The car is washed and clean.,The car is ****** and clean.
Bhavi,sawdust,6_science_sem1,,,"I like sawdust for this , or hay .","I like ******* for this , or hay .",The floor is covered in sawdust.,The floor is covered in *******.
Bhavi,weald,6_science_sem1,,,No example sentence found.,No example sentence found.,The weald looks beautiful in autumn.,The ***** looks beautiful in autumn.
Bhavi,brown,6_science_sem1,,,"Skinny Brown and Hoyt Wilhelm , the Flock's veteran knuckleball specialists , are slated to oppose the American League champions in tomorrow's 8 P.M. contest .","Skinny ***** and hoyt wilhelm , the flock's veteran knuckleball specialists , are slated to oppose the american league champions in tomorrow's 8 p.m. contest .",I like chocolate in brown.,I like chocolate in *****.
Bhavi,kerosene,6_science_sem1,,,A portable kerosene range designed for use aboard boats is sold with a special railing to keep it from moving with the motion of the vessel .,A portable ******** range designed for use aboard boats is sold with a special railing to keep it from moving with the motion of the vessel .,Kerosene is used in lamps.,******** is used in lamps.
Bhavi,peculiar,6_science_sem1,,,It is a kind of friendliness and frankness of address toward the audience which we have been led to believe was peculiar to the American ballet .,It is a kind of friendliness and frankness of address toward the audience which we have been led to believe was ******** to the american ballet .,That's a peculiar smell.,That's a ******** smell.
Bhavi,tree,6_science_sem1,,,"`` In the same five year period that the United States says they ( the detectives ) were engaged in this conspiracy '' , Sokol continued , `` these three young men received a total of 26 creditable mentions and many special compensations , and were nominated for the Lambert Tree award and the mayor's medal '' .","`` in the same five year period that the united states says they ( the detectives ) were engaged in this conspiracy '' , sokol continued , `` these three young men received a total of 26 creditable mentions and many special compensations , and were nominated for the lambert **** award and the mayor's medal '' .",There is a bird in the tree.,There is a bird in the ****.
Bhavi,responsible,6_science_sem1,,,"The Republicans some weeks ago served notice through Senator Thruston B. Morton ( R ) of Kentucky , chairman of the Republican National Committee , that the Kennedy administration would be held responsible if the outcome in Laos was a coalition government susceptible of Communist domination .","The republicans some weeks ago served notice through senator thruston b. morton ( r ) of kentucky , chairman of the republican national committee , that the kennedy administration would be held *********** if the outcome in laos was a coalition government susceptible of communist domination .",He is responsible for feeding the dog.,He is *********** for feeding the dog.
Bhavi,denim,6_science_sem1,,,No example sentence found.,No example sentence found.,My denim jacket is very stylish.,My ***** jacket is very stylish.
Bhavi,combing,6_science_sem1,,,"Gun went to the connecting door , which was open , and stood at attention while Orville Torrence Killpath , in full uniform , finished combing his hair .","Gun went to the connecting door , which was open , and stood at attention while orville torrence killpath , in full uniform , finished ******* his hair .",She is combing her hair.,She is ******* her hair.
Bhavi,detail,6_science_sem1,,,Range was a vital detail .,Range was a vital ****** .,Look at this picture in detail.,Look at this picture in ******.
Bhavi,reasonably,6_science_sem1,,,"Last , it makes no sense to deliver Katanga , the one reasonably solid territory , into the existing chaos .","Last , it makes no sense to deliver katanga , the one ********** solid territory , into the existing chaos .",The toys are reasonably priced.,The toys are ********** priced.
Bhavi,situated,6_science_sem1,,,"On Saturday , the orchestra was sensibly situated down on the field , the stage floor was apparently in decent condition for dancing , and the order of the program improved .","On saturday , the orchestra was sensibly ******** down on the field , the stage floor was apparently in decent condition for dancing , and the order of the program improved .",The park is situated near my house.,The park is ******** near my house.
Bhavi,notice,6_science_sem1,,,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,Pelham said sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether ****** would have to first be given that reconsideration of the action would be sought .,Did you notice the new flowers?,Did you ****** the new flowers?
Bhavi,potato,6_science_sem1,,,"A spectator picked up the ball and handed it to a small boy , who dropped this suddenly hot potato in a very playable lie .","A spectator picked up the ball and handed it to a small boy , who dropped this suddenly hot ****** in a very playable lie .",I like potato chips.,I like ****** chips.
Bhavi,cultural,6_science_sem1,,,"`` We ( the Chicago Association of Commerce and Industry ) expect to establish closer relations with nations and their cultural activities , and it will be easy as a member of the fair staff to bring in acts '' , explains Mrs. Geraghty .","`` we ( the chicago association of commerce and industry ) expect to establish closer relations with nations and their ******** activities , and it will be easy as a member of the fair staff to bring in acts '' , explains mrs. geraghty .",We visited a cultural festival.,We visited a ******** festival.
Bhavi,choose,6_science_sem1,,,Every person will choose his own doctor and hospital '' .,Every person will ****** his own doctor and hospital '' .,I will choose the red crayon.,I will ****** the red crayon.
Bhavi,kapok,6_science_sem1,,,No example sentence found.,No example sentence found.,Kapok is used for stuffing pillows.,***** is used for stuffing pillows.
Bhavi,glance,6_science_sem1,,,The trouble is that at first glance the idea looks like such a good one .,The trouble is that at first ****** the idea looks like such a good one .,Take a glance at this book.,Take a ****** at this book.
Bhavi,load,6_science_sem1,,,"The report , culminating a year long study of the ADC program in Cook county by a New York City welfare consulting firm , listed 10 long range recommendations designed to reduce the soaring ADC case load .","The report , culminating a year long study of the adc program in cook county by a new york city welfare consulting firm , listed 10 long range recommendations designed to reduce the soaring adc case **** .",He can load the truck quickly.,He can **** the truck quickly.
Bhavi,it,6_science_sem1,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said ** did find that many of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,It is raining outside.,** is raining outside.
Bhavi,besides,6_science_sem1,,,Besides the bundle centers where contributions may be made there will be facilities at Philmont Country Club for those who would like to bring the bundles on the night of the party .,******* the bundle centers where contributions may be made there will be facilities at philmont country club for those who would like to bring the bundles on the night of the party .,"Besides apples, we have bananas.","******* apples, we have bananas."
Bhavi,certain,6_science_sem1,,,-- Committee approval of Gov. Price Daniel's `` abandoned property '' act seemed certain Thursday despite the adamant protests of Texas bankers .,-- committee approval of gov. price daniel's `` abandoned property '' act seemed ******* thursday despite the adamant protests of texas bankers .,I am certain I saw a ghost.,I am ******* i saw a ghost.
Bhavi,cannot,6_science_sem1,,,"The escheat law cannot be enforced now because it is almost impossible to locate such property , Daniel declared .","The escheat law ****** be enforced now because it is almost impossible to locate such property , daniel declared .",I cannot reach the cookie jar.,I ****** reach the cookie jar.
Bhavi,organized,6_science_sem1,,,The dinner is sponsored by organized labor and is scheduled for 7 p.m. .,The dinner is sponsored by ********* labor and is scheduled for 7 p.m. .,The books are organized neatly.,The books are ********* neatly.
Bhavi,average,6_science_sem1,,,He suggested that a regrouping of forces might allow the average voter a better pull at the right lever for him on election day .,He suggested that a regrouping of forces might allow the ******* voter a better pull at the right lever for him on election day .,His grades are above average.,His grades are above *******.
Bhavi,horse,6_science_sem1,,,Dallas may get to hear a debate on horse race parimutuels soon between Reps. V. E. ( Red ) Berry and Joe Ratcliff .,Dallas may get to hear a debate on ***** race parimutuels soon between reps. v. e. ( red ) berry and joe ratcliff .,The horse ran fast.,The ***** ran fast.
Bhavi,glowing,6_science_sem1,,,"Black and white is her favorite color combination along with lively glowing pinks , reds , blues and greens .","Black and white is her favorite color combination along with lively ******* pinks , reds , blues and greens .",The lamp is glowing brightly.,The lamp is ******* brightly.
Bhavi,irregular,6_science_sem1,,,"One day when he attended a war memorial ceremony in Westminster Abbey his view was obstructed by a stout man on his left , his attention turned to the irregular pattern of the rough slab flooring and someone , clasping him by the arm , whispered , `` I want a word with you , please '' .","One day when he attended a war memorial ceremony in westminster abbey his view was obstructed by a stout man on his left , his attention turned to the ********* pattern of the rough slab flooring and someone , clasping him by the arm , whispered , `` i want a word with you , please '' .",The path is irregular and rocky.,The path is ********* and rocky.
Bhavi,nose,6_science_sem1,,,Moritz doesn't even have a nose guard or hip pads but he's one of the most valuable members of the Longhorn team that will be heavily favored Saturday over Oklahoma in the Cotton Bowl .,Moritz doesn't even have a **** guard or hip pads but he's one of the most valuable members of the longhorn team that will be heavily favored saturday over oklahoma in the cotton bowl .,My nose is itchy.,My **** is itchy.
Bhavi,critical,6_science_sem1,,,Its spokesmen insist that there has not been time enough to institute reforms in military and economic aid policies in the critical areas .,Its spokesmen insist that there has not been time enough to institute reforms in military and economic aid policies in the ******** areas .,Be critical when crossing roads.,Be ******** when crossing roads.
Bhavi,below,6_science_sem1,,,"The world's best golfer , shooting below par , came to the last hole of the opening round of the Los Angeles open with every intention of delivering a final crusher .","The world's best golfer , shooting ***** par , came to the last hole of the opening round of the los angeles open with every intention of delivering a final crusher .",The cat is below the table.,The cat is ***** the table.
Bhavi,prepared,6_science_sem1,,,SEATO was steamed up and prepared contingency plans for coping with the military losses in Laos .,Seato was steamed up and ******** contingency plans for coping with the military losses in laos .,She is prepared for the test.,She is ******** for the test.
Bhavi,nutrition,6_science_sem1,,,"In this one sentence , he unwittingly revealed the basic philosophy of the nutrition and psychological programs in operation at the school .","In this one sentence , he unwittingly revealed the basic philosophy of the ********* and psychological programs in operation at the school .",Vegetables are full of nutrition.,Vegetables are full of *********.
Bhavi,rubber,6_science_sem1,,,Wider space between iron bars and agreement by prison boards to substitute rubber in 20 per cent of metal .,Wider space between iron bars and agreement by prison boards to substitute ****** in 20 per cent of metal .,This ball is made of rubber.,This ball is made of ******.
Bhavi,market,6_science_sem1,,,"The share of the new housing market enjoyed by apartments , which began about six years ago , has more than tripled within that span of time .","The share of the new housing ****** enjoyed by apartments , which began about six years ago , has more than tripled within that span of time .",We buy fruits at the market.,We buy fruits at the ******.
Bhavi,extreme,6_science_sem1,,,"At one extreme are the systems of upper New York State , where libraries in two or more counties combine to serve a large , sparsely populated area .","At one ******* are the systems of upper new york state , where libraries in two or more counties combine to serve a large , sparsely populated area .",The weather is extremely cold.,The weather is *******ly cold.
Bhavi,lemon,6_science_sem1,,,"-- Billy Gardner's line double , which just eluded the diving Minnie Minoso in left field , drove in Jim Lemon with the winning run with two out in the last of the ninth to give the Minnesota Twins a 6-5 victory over the Chicago White Sox Monday .","-- billy gardner's line double , which just eluded the diving minnie minoso in left field , drove in jim ***** with the winning run with two out in the last of the ninth to give the minnesota twins a 6-5 victory over the chicago white sox monday .",I like lemon in my tea.,I like ***** in my tea.
Bhavi,wasting,6_science_sem1,,,"Instead of this the 1930's witnessed a tragic economic depression , the rise of Fascist dictators in Europe , the wasting Civil War in Spain .","Instead of this the 1930's witnessed a tragic economic depression , the rise of fascist dictators in europe , the ******* civil war in spain .",Do not waste your food.,Do not waste your food.
Bhavi,eminent,6_science_sem1,,,"Natural gas public utility companies would be given the right of eminent domain , under a bill by Sen. Frank Owen 3 , of El Paso , to acquire sites for underground storage reservoirs for gas .","Natural gas public utility companies would be given the right of ******* domain , under a bill by sen. frank owen 3 , of el paso , to acquire sites for underground storage reservoirs for gas .",The eminent scientist visited our school.,The ******* scientist visited our school.
Bhavi,boil,6_science_sem1,,,"The firm is prominent in making equipment for cleaning seed cotton , driers , and heaters , and they lay claim to being the first maker ( 1910 ) of boil extraction equipment .","The firm is prominent in making equipment for cleaning seed cotton , driers , and heaters , and they lay claim to being the first maker ( 1910 ) of **** extraction equipment .",Boil water to make tea.,**** water to make tea.
Bhavi,past,6_science_sem1,,,"A veteran Jackson County legislator will ask the Georgia House Monday to back federal aid to education , something it has consistently opposed in the past .","A veteran jackson county legislator will ask the georgia house monday to back federal aid to education , something it has consistently opposed in the **** .",The dinosaur lived in the past.,The dinosaur lived in the ****.
Bhavi,kicking,6_science_sem1,,,"Moritz was bothered during the first two games this year by a pulled muscle in the thigh of his right ( kicking ) leg and , as a result , several of his successful conversions have gone barely far enough .","Moritz was bothered during the first two games this year by a pulled muscle in the thigh of his right ( ******* ) leg and , as a result , several of his successful conversions have gone barely far enough .",He enjoys kicking the football.,He enjoys ******* the football.
Bhavi,pincers,6_science_sem1,,,No example sentence found.,No example sentence found.,The crab has sharp pincers.,The crab has sharp *******.
Bhavi,hung,6_science_sem1,,,"All these he hung in his burglarproof home called Stone's Throw , outside Pittsburgh , and only people he liked and trusted ever got to see them .","All these he **** in his burglarproof home called stone's throw , outside pittsburgh , and only people he liked and trusted ever got to see them .",The picture is hung on the wall.,The picture is **** on the wall.
Bhavi,joint,6_science_sem1,,,Their joint statement was welcomed by the Western delegations who will attend tomorrow the nineteenth plenary session of the fourteen-nation conference on the future of Laos .,Their ***** statement was welcomed by the western delegations who will attend tomorrow the nineteenth plenary session of the fourteen-nation conference on the future of laos .,The knee is a type of joint.,The knee is a type of *****.
Bhavi,arm,6_science_sem1,,,Chico Ruiz made a spectacular play on Alusik's grounder in the hole in the fourth and Wert came up with some good stops and showed a strong arm at third base .,Chico ruiz made a spectacular play on alusik's grounder in the hole in the fourth and wert came up with some good stops and showed a strong *** at third base .,I broke my arm.,I broke my ***.
Bhavi,coolant,6_science_sem1,,,"First , drain that old coolant down the storm sewer .","First , drain that old ******* down the storm sewer .",Water acts as a coolant for engines.,Water acts as a ******* for engines.
Bhavi,pasteur,6_science_sem1,,,No example sentence found.,No example sentence found.,Pasteur discovered pasteurization.,******* discovered *******ization.
Bhavi,cap,6_science_sem1,,,With a foreign car you must wear a cap -- it has a leather band in the back .,With a foreign car you must wear a *** -- it has a leather band in the back .,Wear your cap in the sun.,Wear your *** in the sun.
Bhavi,lived,6_science_sem1,,,The petition said that the couple has not lived together as man and wife for more than a year .,The petition said that the couple has not ***** together as man and wife for more than a year .,We lived in a green house.,We ***** in a green house.
Bhavi,search,6_science_sem1,,,"The meetings in Zurich , the statement said , would deal only with principles that would guide the three factors in their search for a coalition Government .","The meetings in zurich , the statement said , would deal only with principles that would guide the three factors in their ****** for a coalition government .",Let's search for the missing toy.,Let's ****** for the missing toy.
Bhavi,male,6_science_sem1,,,"In open class poultry , Donald Wacklin of Sherwood had the champion male and female bird and grand champion bird .","In open class poultry , donald wacklin of sherwood had the champion **** and fe**** bird and grand champion bird .",The male lion has a mane.,The **** lion has a mane.
Bhavi,term,6_science_sem1,,,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-october **** jury had been charged by fulton superior court judge durwood pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by mayor-nominate ivan allen jr. .,"""Summer"" is a term.","""summer"" is a ****."
Bhavi,running,6_science_sem1,,,He said he would not be surprised if some of the more than 30 members of the group are interested in running on the required non-partisan ballot for posts on the charter commission .,He said he would not be surprised if some of the more than 30 members of the group are interested in ******* on the required non-partisan ballot for posts on the charter commission .,I love running in the park.,I love ******* in the park.
Bhavi,silver,6_science_sem1,,,"Shaw and Skorich headed a group of players , coaches and team officials who received an engrossed copy of an official city citation and a pair of silver cufflinks shaped like a football .","Shaw and skorich headed a group of players , coaches and team officials who received an engrossed copy of an official city citation and a pair of ****** cufflinks shaped like a football .",I have a silver coin.,I have a ****** coin.
Bhavi,series,6_science_sem1,,,It was one of a series of recommendations by the Texas Research League .,It was one of a ****** of recommendations by the texas research league .,She watched a series of cartoons.,She watched a ****** of cartoons.
Bhavi,loosely,6_science_sem1,,,"-- The powerful New York Yankees won their 19th world series in a 5-game romp over outclassed Cincinnati , crushing the Reds in a humiliating 13-5 barrage Monday in the loosely played finale .","-- the powerful new york yankees won their 19th world series in a 5-game romp over outclassed cincinnati , crushing the reds in a humiliating 13-5 barrage monday in the ******* played finale .",The rope is tied loosely.,The rope is tied *******.
